noun,gender,lang
abandonneuse,f,fr
abatteuse,f,fr
abaisse,f,fr
abasie,f,fr
abandonnataire,"f,by sense,m",fr
abajoue,f,fr
Aalandaise,f,fr
A. M.,"f,m",fr
abri de jardin,m,fr
Aymara,"f,by sense,m",fr
abreuvoir,m,fr
baassiste,"f,by sense,m",fr
baasiste,"f,by sense,m",fr
aveugle,"f,by sense,m",fr
acrostiche,"f,m",fr
abri de nuit,m,fr
abri,m,fr
acide,m,fr
acicule,m,fr
abri anti-atomique,m,fr
cibiste,"f,by sense,m",fr
Chti,"f,by sense,m",fr
ci-devant,"f,by sense,m",fr
chymiste,"f,by sense,m",fr
Chtimi,"f,by sense,m",fr
Chypriote,"f,by sense,m",fr
dramaturge,"f,by sense,m",fr
dogmatiste,"f,by sense,m",fr
documentaliste,"f,by sense,m",fr
documentariste,"f,by sense,m",fr
donatiste,"f,by sense,m",fr
clope,"f,m",fr
doctrinaire,"f,by sense,m",fr
doberman,"f,by sense,m",fr
domestique,"f,by sense,m",fr
cocatrix,"f,m",fr
adverbe interrogatif,m,fr
adverbe,m,fr
advertissement,m,fr
crouille,"f,m",fr
adultisme,m,fr
adulescent,m,fr
adsorbeur,m,fr
adulateur,m,fr
adsorbant,m,fr
adstrat,m,fr
agrammatisme,m,fr
agouti,m,fr
agrainage,m,fr
agrafage,m,fr
agoranome,m,fr
agoniste,m,fr
agnosticisme,m,fr
alderman,m,fr
alcyon,m,fr
eurodollar,"f,m",fr
alcynol,m,fr
garden-party,"f,m",fr
alcyne,m,fr
Hallyu,"f,m",fr
alcotest,m,fr
alcoyle,m,fr
Hamiote,"f,by sense,m",fr
amalgame,m,fr
halieutique,"f,m",fr
amal,m,fr
amadou,m,fr
alysson,m,fr
amadouvier,m,fr
amaigrissement,m,fr
juge de paix,"f,by sense,m",fr
junkie,"f,by sense,m",fr
junior,"f,by sense,m",fr
juillettiste,"f,by sense,m",fr
journaliste reporter d'images,"f,by sense,m",fr
journalope,"f,by sense,m",fr
judoka,"f,by sense,m",fr
anarcho-syndicalisme,m,fr
anarchisant,m,fr
major,"f,m",fr
anatocisme,m,fr
anarchosyndicalisme,m,fr
anastigmat,m,fr
malacophage,"f,by sense,m",fr
anarchisme,m,fr
mainmortable,"f,m",fr
antan,m,fr
mahdiste,"f,by sense,m",fr
antalgique,m,fr
antaphrodisiaque,m,fr
anspect,m,fr
nataliste,"f,by sense,m",fr
antagonisme,m,fr
antagoniste,m,fr
nanomaniaque,"f,by sense,m",fr
narcomane,"f,by sense,m",fr
Nagot,"f,by sense,m",fr
apache,m,fr
apaisement,m,fr
paedagogue,"f,by sense,m",fr
apanage,m,fr
pacifiste,"f,by sense,m",fr
pabliste,"f,by sense,m",fr
P. M.,"f,m",fr
aramon,m,fr
aramide,m,fr
pianiste,"f,by sense,m",fr
physiopathologiste,"f,by sense,m",fr
physiologiste,"f,by sense,m",fr
physionomiste,"f,by sense,m",fr
recommandataire,"f,m",fr
reconstructionniste,"f,by sense,m",fr
rebelle,"f,by sense,m",fr
spartakiste,"f,by sense,m",fr
souveraintiste,"f,by sense,m",fr
souverainiste,"f,by sense,m",fr
sous-verre,"f,m",fr
sous-locataire,"f,m",fr
soukoun,"f,m",fr
Sorabe,"f,by sense,m",fr
sophrologue,"f,by sense,m",fr
aubier,m,fr
aubain,m,fr
aubin,m,fr
attroupement,m,fr
turcophone,"f,by sense,m",fr
tsigane,"f,by sense,m",fr
turfiste,"f,by sense,m",fr
tulliste,"f,by sense,m",fr
turcologue,"f,by sense,m",fr
tubiste,"f,by sense,m",fr
trotskiste,"f,by sense,m",fr
truquiste,"f,by sense,m",fr
trotskyste,"f,by sense,m",fr
aveuglement volontaire,m,fr
aveu,m,fr
aviateur,m,fr
Aveyronnais,m,fr
avertisseur,m,fr
aveuglement,m,fr
avestique,m,fr
zythologue,"f,by sense,m",fr
zutiste,"f,by sense,m",fr
zouf,"f,m",fr
zoreille,"f,by sense,m",fr
zorille,"f,m",fr
bagne,m,fr
baggy,m,fr
baguier,m,fr
bagnard,m,fr
bagou,m,fr
bagout,m,fr
baguettisant,m,fr
baguel,m,fr
baguenaudier,m,fr
bagarreur,m,fr
bagagiste,m,fr
bagel,m,fr
baptiseur,m,fr
banquier,m,fr
bagad,m,fr
baobab,m,fr
Bantou,m,fr
banquiste,m,fr
banvin,m,fr
banqueroutier,m,fr
banqueteur,m,fr
bateleur,m,fr
bagage,m,fr
bannier,m,fr
batelet,m,fr
banquet,m,fr
bannissement,m,fr
bateau-lavoir,m,fr
bateau-pilote,m,fr
bateau-phare,m,fr
batelage,m,fr
bateau-mouche,m,fr
bateau pilote,m,fr
batardeau,m,fr
bateau-feu,m,fr
bateau,m,fr
bateau de plaisance,m,fr
bataillon,m,fr
batara luisant,m,fr
belluaire,m,fr
batara,m,fr
belosse,m,fr
belouga,m,fr
bellicisme,m,fr
bellastre,m,fr
bichon,m,fr
bichlorure,m,fr
bichof,m,fr
bichelamar,m,fr
bichlamar,m,fr
biceps,m,fr
bicarbure,m,fr
bic,m,fr
bicentenaire,m,fr
bicarbonate de soude,m,fr
bibi,m,fr
bibliobus,m,fr
bicarbonate,m,fr
biscotin,m,fr
bibelotier,m,fr
bis,"f,pl,m",fr
biscayen,m,fr
bischof,m,fr
biberon,m,fr
birr,m,fr
birman,m,fr
birdie,m,fr
birbe,m,fr
birapport,m,fr
Birman,m,fr
bobinage,m,fr
boc,m,fr
biquet,m,fr
bobinoir,m,fr
bobard,m,fr
bobineur,m,fr
bobeur,m,fr
bob,m,fr
BMW,f,fr
boa constricteur,m,fr
boa,m,fr
Bn.,m,fr
blush,m,fr
blutage,m,fr
blutoir,m,fr
bossu,m,fr
bluffeur,m,fr
bossoir,m,fr
bosseur,m,fr
boson de Higgs,m,fr
bosnien,m,fr
bosquet,m,fr
bosco,m,fr
boscoyo,m,fr
bosniaque,m,fr
Bosnien,m,fr
boxer,m,fr
boscard,m,fr
bortsch,m,fr
borure,m,fr
boxeur,m,fr
borohydrure,m,fr
boson,m,fr
box-office,m,fr
box-calf,m,fr
bouzouki,m,fr
box,"f,m",fr
bovarysme,m,fr
bouzouk,m,fr
bouvreuil,m,fr
bouturage,m,fr
bouvreuil pivoine,m,fr
boutonnage,m,fr
bouvier,m,fr
brony,m,fr
bronzier,m,fr
brossier,m,fr
bronzage,m,fr
brontosaure,m,fr
brou,m,fr
bronze,m,fr
bronzeur,m,fr
bowling,m,fr
bromoforme,m,fr
bromure,m,fr
bronchodilatateur,m,fr
bromure de sodium,m,fr
bromisme,m,fr
cabinet d'aisance,m,fr
bronchoscope,m,fr
cabas,m,fr
cabinet,m,fr
cabaretier,m,fr
cabestan,m,fr
cabernet,m,fr
cabillot,m,fr
cabillaud,m,fr
CA,m,fr
caban,m,fr
caberlot,m,fr
cabaret,m,fr
cabanon,m,fr
C.Bssn.,m,fr
cabaliste,m,fr
C.Bon.,m,fr
calcul biliaire,m,fr
calcification,m,fr
calcul,m,fr
calcin,m,fr
calcium,m,fr
calcarone,m,fr
calcanthe,m,fr
calbar,m,fr
calao,m,fr
canif,m,fr
caniveau,m,fr
caneton,m,fr
calcaire,m,fr
canevas,m,fr
calamondin,m,fr
cancrelat,m,fr
canneur,m,fr
carillon,m,fr
caribou,m,fr
carillonnement,m,fr
caret,m,fr
candidat,m,fr
caresme,m,fr
carencro,m,fr
candi,m,fr
cariacou,m,fr
cari,m,fr
cardon-de-mer,m,fr
cardon lainier,m,fr
cardon de Tours,m,fr
cardon,m,fr
cardon de mer,m,fr
catholicisme,m,fr
cardioprotecteur,m,fr
catatrufa,m,fr
catcheur,m,fr
catharisme,m,fr
catarrhinien,m,fr
cargo,m,fr
catastrophisme,m,fr
cataplasme sur une jambe de bois,m,fr
catarrhe,m,fr
certificat de travail,m,fr
catarhinien,m,fr
catapulteur,m,fr
certif,m,fr
catapultage,m,fr
cataplasme sur jambe de bois,m,fr
certificat,m,fr
cerne,m,fr
certain,m,fr
cerque,m,fr
cerfeuil des Alpes,m,fr
cerfeuil,m,fr
cerisier,m,fr
cerf-volant,m,fr
chantier,m,fr
cerf rouge,m,fr
chantoung,m,fr
chantier naval,m,fr
chantonnement,m,fr
chanoine,m,fr
chantage,m,fr
chant,m,fr
chant du cygne,m,fr
chantefable,m,fr
changement,m,fr
chanteur,m,fr
changeur,m,fr
changement de paradigme,m,fr
changement climatique,m,fr
chanfrein,m,fr
chansonnier,m,fr
chandelier,m,fr
chandail,m,fr
chawarma,m,fr
cheat,m,fr
cheau,m,fr
chavisme,m,fr
chauvin,m,fr
chavirement,m,fr
catch,m,fr
chavirage,m,fr
chauvinisme,m,fr
chauve-souriceau,m,fr
chausson marseillais,m,fr
chaussetier,m,fr
chaume,m,fr
chausseur,m,fr
chausse-trape,m,fr
chausson,m,fr
chausse-pied,m,fr
chaulage,m,fr
chili,m,fr
chaus,m,fr
chik,m,fr
chihuahua,m,fr
chignon,m,fr
chiffrement,m,fr
chiisme,m,fr
chiffreur,m,fr
chiffre romain,m,fr
chiffre,m,fr
chiffonnier,m,fr
chiffre d'affaires,m,fr
chiffre arabe,m,fr
chiffonnement,m,fr
choc terminal,m,fr
chiffrage,m,fr
chiffonnade,m,fr
chronotachygraphe,m,fr
chronolecte,m,fr
chiffonnage,m,fr
chronographe,m,fr
chrono,m,fr
chronocide,m,fr
chronogramme,m,fr
chromosome,m,fr
chromosome Y,m,fr
chroniqueur,m,fr
classificateur,m,fr
chromodynamique quantique,m,fr
classeur,m,fr
clasico,m,fr
clash,m,fr
clarain,m,fr
classicisme,m,fr
change,m,fr
claque-merde,m,fr
claqueur,m,fr
claque,"f,m",fr
classement,m,fr
claquement,m,fr
clapotis,m,fr
clapotement,m,fr
claquage,m,fr
clappement,m,fr
code-barres,m,fr
clapotage,m,fr
code vestimentaire,m,fr
code source,m,fr
code postal,m,fr
code machine,m,fr
code d'honneur,m,fr
code de l'honneur,m,fr
code de la route,m,fr
comble,m,fr
combustible,m,fr
comburant,m,fr
comblement,m,fr
combishort,m,fr
combinateur,m,fr
combattant,m,fr
combat de coqs,m,fr
combinat,m,fr
comanche,m,fr
condom,m,fr
combat,m,fr
condo,m,fr
complotisme,m,fr
coma artificiel,m,fr
condominium,m,fr
comploteur,m,fr
condiment,m,fr
conditionnement,m,fr
conditionneur,m,fr
condensateur,m,fr
condenseur,m,fr
conditionnel,m,fr
concurrent,m,fr
condensat,m,fr
contrebandier,m,fr
contre-transfert,m,fr
concubinage,m,fr
contre-jour,m,fr
