noun,gender,lang
accoutumance,"rzeczownik, rodzaj żeński",fr
accouple,"rzeczownik, rodzaj żeński",fr
accompagnatrice,"rzeczownik, rodzaj żeński",fr
accommodation,"rzeczownik, rodzaj żeński",fr
accoucheuse,"rzeczownik, rodzaj żeński",fr
accordéoniste,"rzeczownik, rodzaj męski",fr
accortise,"rzeczownik, rodzaj żeński",fr
accouchée,"rzeczownik, rodzaj żeński",fr
accordailles,"rzeczownik, rodzaj żeński, liczba mnoga",fr
accolure,"rzeczownik, rodzaj żeński",fr
accolade,"rzeczownik, rodzaj żeński",fr
accore,przymiotnik,fr
accointance,"rzeczownik, rodzaj żeński",fr
acclimatation,"rzeczownik, rodzaj żeński",fr
acclamation,"rzeczownik, rodzaj żeński",fr
acide désoxyribonucléique,"fraza rzeczownikowa, rodzaj męski",fr
accise,"rzeczownik, rodzaj żeński",fr
acide citrique,"fraza rzeczownikowa, rodzaj męski",fr
acide butyrique,"fraza rzeczownikowa, rodzaj męski",fr
acide carboxylique,"fraza rzeczownikowa, rodzaj męski",fr
acide butanoïque,"fraza rzeczownikowa, rodzaj męski",fr
acide azothydrique,"fraza rzeczownikowa, rodzaj męski",fr
acide aminé,"fraza rzeczownikowa, rodzaj męski",fr
acide abscissique,"fraza rzeczownikowa, rodzaj męski",fr
acide azélaïque,"fraza rzeczownikowa, rodzaj męski",fr
acide acétique,"fraza rzeczownikowa, rodzaj męski",fr
acide ascorbique,"fraza rzeczownikowa, rodzaj męski",fr
acide acétylsalicylique,"fraza rzeczownikowa, rodzaj męski",fr
acide abiétique,"fraza rzeczownikowa, rodzaj męski",fr
achoppement,"rzeczownik, rodzaj męski",fr
acidage,"rzeczownik, rodzaj męski",fr
achromatisme,"rzeczownik, rodzaj męski",fr
achevoir,"rzeczownik, rodzaj męski",fr
acide,"rzeczownik, rodzaj męski",fr
Achille,"rzeczownik, rodzaj męski, nazwa własna",fr
Achgabat,"rzeczownik, rodzaj męski, nazwa własna",fr
achèvement,"rzeczownik, rodzaj męski",fr
achevage,"rzeczownik, rodzaj męski",fr
acheteur,"rzeczownik, rodzaj męski",fr
achat,"rzeczownik, rodzaj męski",fr
acheminement,"rzeczownik, rodzaj męski",fr
achalandage,"rzeczownik, rodzaj męski",fr
acharnement,"rzeczownik, rodzaj męski",fr
acétimètre,"rzeczownik, rodzaj męski",fr
acétate,"rzeczownik, rodzaj męski",fr
acétal,"rzeczownik, rodzaj męski",fr
acétate d'éthyle,"fraza rzeczownikowa, rodzaj męski",fr
acétaldéhyde,"rzeczownik, rodzaj męski",fr
acénocoumarol,"rzeczownik, rodzaj męski",fr
acérage,"rzeczownik, rodzaj męski",fr
accusatif,"rzeczownik, rodzaj męski",fr
accu,"rzeczownik, rodzaj męski",fr
accusateur,"rzeczownik, rodzaj męski",fr
ace,"rzeczownik, rodzaj męski",fr
accumulateur,"rzeczownik, rodzaj męski",fr
accueil,"rzeczownik, rodzaj męski",fr
accroupissement,"rzeczownik, rodzaj męski",fr
accroissement,"rzeczownik, rodzaj męski",fr
accrochement,"rzeczownik, rodzaj męski",fr
accrochage,"rzeczownik, rodzaj męski",fr
accréditeur,"rzeczownik, rodzaj męski",fr
accréditif,"rzeczownik, rodzaj męski",fr
accréditif circulaire,"fraza rzeczownikowa, rodzaj męski",fr
accroche-cœur,"rzeczownik, rodzaj męski",fr
accroc,"rzeczownik, rodzaj męski",fr
accoutrement,"rzeczownik, rodzaj męski",fr
accotoir,"rzeczownik, rodzaj męski",fr
accourcissement,"rzeczownik, rodzaj męski",fr
accouplement,"rzeczownik, rodzaj męski",fr
accoucheur,"rzeczownik, rodzaj męski",fr
accoudoir,"rzeczownik, rodzaj męski",fr
accotement,"rzeczownik, rodzaj męski",fr
accouchement,"rzeczownik, rodzaj męski",fr
accot,"rzeczownik, rodzaj męski",fr
accostage,"rzeczownik, rodzaj męski",fr
accordeur,"rzeczownik, rodzaj męski",fr
accordoir,"rzeczownik, rodzaj męski",fr
accordage,"rzeczownik, rodzaj męski",fr
accordéon,"rzeczownik, rodzaj męski",fr
accordement,"rzeczownik, rodzaj męski",fr
accord,"rzeczownik, rodzaj męski",fr
accordé,"rzeczownik, rodzaj męski",fr
accomplissement,"rzeczownik, rodzaj męski",fr
accompagnateur,"rzeczownik, rodzaj męski",fr
accommodage,"rzeczownik, rodzaj męski",fr
accompagnement,"rzeczownik, rodzaj męski",fr
accommodement,"rzeczownik, rodzaj męski",fr
acclimatement,"rzeczownik, rodzaj męski",fr
accolage,"rzeczownik, rodzaj męski",fr
acclimateur,"rzeczownik, rodzaj męski",fr
agréage,"rzeczownik, rodzaj męski",fr
agrandisseur,"rzeczownik, rodzaj męski",fr
agrandissement,"rzeczownik, rodzaj męski",fr
agrafage,"rzeczownik, rodzaj męski",fr
agrammatisme,"rzeczownik, rodzaj męski",fr
agoraphobe,"rzeczownik, rodzaj męski",fr
agnostique,przymiotnik,fr
agneau,"rzeczownik, rodzaj męski",fr
agnosticisme,"rzeczownik, rodzaj męski",fr
agnat,"rzeczownik, rodzaj męski",fr
agissements,"rzeczownik, rodzaj męski, liczba mnoga",fr
agioteur,"rzeczownik, rodzaj męski",fr
agitateur,"rzeczownik, rodzaj męski",fr
agnelet,"rzeczownik, rodzaj męski",fr
agiotage,"rzeczownik, rodzaj męski",fr
aggloméré,"rzeczownik, rodzaj męski",fr
agglomérat,"rzeczownik, rodzaj męski",fr
agent,"rzeczownik, rodzaj męski",fr
agenda,"rzeczownik, rodzaj męski",fr
agencement,"rzeczownik, rodzaj męski",fr
âge de pierre,"fraza rzeczownikowa, rodzaj męski",fr
agent double,"fraza rzeczownikowa, rodzaj męski",fr
agave américain,"fraza rzeczownikowa, rodzaj męski",fr
Agathon,"rzeczownik, rodzaj męski, nazwa własna",fr
agenouillement,"rzeczownik, rodzaj męski",fr
agent comptable,"fraza rzeczownikowa, rodzaj męski",fr
agacement,"rzeczownik, rodzaj męski",fr
Afro-Latino,"rzeczownik, rodzaj męski",fr
agenouilloir,"rzeczownik, rodzaj męski",fr
âge du bronze,"fraza rzeczownikowa, rodzaj męski",fr
agaric,"rzeczownik, rodzaj męski",fr
amerrissage,"rzeczownik, rodzaj męski",fr
Amérindien,"rzeczownik, rodzaj męski",fr
âge,"rzeczownik, rodzaj męski",fr
aggiornamento,"rzeczownik, rodzaj męski",fr
amérindien,"rzeczownik, rodzaj męski",fr
américium,"rzeczownik, rodzaj męski",fr
américanisme,"rzeczownik, rodzaj męski",fr
Américain,"rzeczownik, rodzaj męski",fr
