noun,gender,lang
anthropotomie,Sustantivo_femenino,fr
anthropophagie,Sustantivo_femenino,fr
anguille,Sustantivo_femenino,fr
animation,Sustantivo_femenino,fr
anthropophage,Sustantivo_femenino_y_masculino,fr
année,Sustantivo_femenino,fr
anthropologie,Sustantivo_femenino,fr
anosmie,Sustantivo_femenino_2,fr
anneau,Sustantivo_femenino,fr
ancre,Sustantivo_femenino,fr
annulation,Sustantivo_femenino,fr
anche,Sustantivo_femenino,fr
anarchiste,Sustantivo_femenino_y_masculino,fr
anaphase,Sustantivo_femenino,fr
analytique,Sustantivo_femenino,fr
amœnité,Sustantivo_femenino,fr
babillement,Sustantivo_masculino,fr
babillage,Sustantivo_masculino,fr
babil,Sustantivo_masculino,fr
babeurre,Sustantivo_masculino,fr
aéroport,Sustantivo_masculino,fr
aéronef,Sustantivo_masculino,fr
aïeul,Sustantivo_masculino,fr
aïeux,Sustantivo_masculino,fr
azédarac,Sustantivo_masculino,fr
aérostat,Sustantivo_masculino,fr
azyme,Sustantivo_masculino,fr
azur,Sustantivo_masculino,fr
azote,Sustantivo_masculino_2,fr
azotate,Sustantivo_masculino,fr
azimut,Sustantivo_masculino_4,fr
azerou,Sustantivo_masculino,fr
azeraille,Sustantivo_masculino,fr
azerolier,Sustantivo_masculino,fr
axolotl,Sustantivo_masculino,fr
axiome,Sustantivo_masculino,fr
avril,Sustantivo_masculino,fr
avoir,Sustantivo_masculino,fr
avocat,Sustantivo_masculino_3,fr
ave,Sustantivo_masculino,fr
avis,Sustantivo_masculino,fr
avion,Sustantivo_masculino,fr
avenir,Sustantivo_masculino,fr
autrui,Sustantivo_masculino,fr
autographe,Sustantivo_masculino,fr
Australien,Sustantivo_masculino,fr
audit,Sustantivo_masculino,fr
aucteur,Sustantivo_masculino,fr
attacheur,Sustantivo_masculino,fr
automne,Sustantivo_masculino,fr
atoll,Sustantivo_masculino,fr
athenæe,Sustantivo_masculino,fr
asticot,Sustantivo_masculino,fr
atavisme,Sustantivo_masculino_2,fr
asperge,Sustantivo_masculino,fr
arçon,Sustantivo_masculino,fr
ascenseur,Sustantivo_masculino,fr
aræometre,Sustantivo_masculino,fr
assault,Sustantivo_masculino,fr
assaut,Sustantivo_masculino,fr
cachalot,Sustantivo_masculino,fr
cacao,Sustantivo_masculino_2,fr
cabas,Sustantivo_masculino,fr
bêta,Sustantivo_masculino,fr
bœuf,Sustantivo_masculino,fr
bétail,Sustantivo_masculino,fr
cabestan,Sustantivo_masculino,fr
bûcheron,Sustantivo_masculino,fr
clitoris,Sustantivo_masculino,fr
clavier,Sustantivo_masculino,fr
cittadin,Sustantivo_masculino,fr
citron,Sustantivo_masculino_2,fr
clarissime,Sustantivo_masculino,fr
clochard,Sustantivo_masculino,fr
climat,Sustantivo_masculino,fr
citadin,Sustantivo_masculino,fr
ciseaux,Sustantivo_masculino,fr
chêne,Sustantivo_masculino,fr
cidre,Sustantivo_masculino,fr
château,Sustantivo_masculino,fr
châssis,Sustantivo_masculino,fr
chœnix,Sustantivo_masculino,fr
chœur,Sustantivo_masculino,fr
chrome,Sustantivo_masculino,fr
chou-fleur,Sustantivo_masculino,fr
chorégraphe,Sustantivo_femenino_y_masculino,fr
chocolat,Sustantivo_masculino,fr
chirurgien,Sustantivo_masculino,fr
chimiste,Sustantivo_femenino_y_masculino,fr
chiot,Sustantivo_masculino,fr
chilomètre,Sustantivo_masculino,fr
chiffon,Sustantivo_masculino_2,fr
chien de garde,Sustantivo_masculino,fr
chien,Sustantivo_masculino,fr
chewing-gum,Sustantivo_masculino,fr
chevaucheur,Sustantivo_masculino,fr
chevalet,Sustantivo_masculino,fr
chevalier,Sustantivo_masculino,fr
chaton,Sustantivo_masculino,fr
chef,Sustantivo_masculino_2,fr
chasseur,Sustantivo_masculino,fr
cæsium,Sustantivo_masculino,fr
cèleri,Sustantivo_masculino,fr
Cæsar,Sustantivo_masculino,fr
cælibat,Sustantivo_masculino,fr
cæcum,Sustantivo_masculino,fr
cæca,Sustantivo_masculino,fr
chat,Sustantivo_masculino,fr
chauvinisme,Sustantivo_masculino,fr
