noun,gender,lang
Queue,f,de
Quargel,"m,n,f",de
Quandel,"m,n,f",de
Preview,"m,n,f",de
Nutella,"m,n,f",de
Nudossi,"m,n,f",de
Mündel,"m,n,f",de
Moshpit,"m,n,f",de
Mockumentary,"m,n,f",de
alezan,m,fr
Aletsch,m,fr
Alentejo,m,de
Alentejo,m,fr
aldéhyde acétique,m,fr
Aldan,m,de
Aldan,m,fr
alcoologue,"m,f",fr
alcoolisme,m,fr
alcoolodépendant,m,fr
alcoolier,m,fr
alcoolat,m,fr
alcarazas,m,fr
alchimiste,m,fr
alcool,m,fr
alcaloïde,m,fr
A-Jugendliche,f,de
a-Moll-Tonleiter,f,de
Chrisam,"m,n",de
Chronometer,"m,n",de
A-Jugend,f,de
Abbruchstelle,f,de
Christus,m,de
A-Dur-Tonleiter,f,de
Abbröckelung,f,de
Abbruchsiegerin,f,de
antagoniste,m,fr
arbuste,m,fr
Abbruchsgenehmigung,f,de
agence,f,fr
ciudad,f,es
ciruela,f,es
Gehalt,"m,n",de
Genozid,"m,n",de
Gelpolster,"m,n",de
Gendersprech,"m,n",de
Gazpacho,"m,f",de
Geisel,"m,f",de
Abgunst,f,de
Gelee,"m,n",de
Genitalbereich,"m,n",de
Abgrusung,f,de
Abgängigkeitsanzeige,f,de
Abgrenzungsfähigkeit,f,de
Abgrenzungsstrategie,f,de
einstenio,m,es
farmacia,f,es
Krake,"m,f",de
Hulk,"m,f",de
Huanaco,"m,n",de
Kotatsu,"m,n",de
Koto,"n,f",de
Korpuskel,"n,f",de
Koprolith,m,de
Kopfteil,"m,n",de
Absolventenfeier,f,de
Absonderlichkeit,f,de
Absolvierung,f,de
Absolutistin,f,de
miedo,m,es
Absolventin,f,de
Absolution,f,de
Absolutheit,f,de
europio,m,es
PDF,m,de
PDF,m,fr
Peloponnes,"m,f",de
Pauschale,"n,f",de
Pendlerpauschale,"n,f",de
metal,m,es
Pellikel,"n,f",de
Patronenfilter,"m,n",de
Achäne,f,de
Acidophilusmilch,f,de
Acidität,f,de
Achäerin,f,de
Acidimetrie,f,de
Achylie,f,de
Achylia gastrica,f,de
Achtwertigkeit,f,de
recorrido,m,es
teatro,m,es
Achtzehn,f,de
Set,"m,n",de
tecnecio,m,es
Selters,"n,f",de
Serge,"m,f",de
Serge,m,fr
Service,"m,n",de
Aggregation,f,de
Sellerie,"m,f",de
Agglomeration,f,de
Agglutination,f,de
Aggregatfunktion,f,de
agglutinierende Sprache,f,de
Agger,f,de
Ageusie,f,de
Tschernosem,"m,n",de
Tsatsiki,"m,n",de
óvulo,m,es
ámbito de responsabilidad,m,es
árbol,m,es
árbitro,m,es
Al-Aksa-Moschee,f,de
Al-Qaida,f,de
Al-Aksa-Intifada,f,de
Aküspra,f,de
Al Fatah,f,de
Al Fata,f,de
Al Kaida,f,de
Aküsprache,f,de
Akzidenz,f,de
AküSpra,f,de
Akzeptanz,f,de
Akü-Sprache,f,de
Akzessorietät,f,de
Akzentverschiebung,f,de
Akzidenzsetzerin,f,de
Akzeptabilität,f,de
Alphabetin,f,de
Alphastrahlung,f,de
Alphabetschrift,f,de
Alphabetisierungskampagne,f,de
Alphabetisierung,f,de
Alpenrose,f,de
Alpenmilch,f,de
Alpenstraße,f,de
Alphabetisierungsrate,f,de
Alpenrepublik,f,de
Alopezie,f,de
Alp,"m,f",de
Alpenfestung,f,de
Alpendohle,f,de
Alogie,f,de
Alpe,f,de
Amtseinsetzung,f,de
Aloe,f,de
Amtsdirektorin,f,de
Amtseinführung,f,de
Aloe vera,f,de
Amtsenthebung,f,de
Amtfrau,f,de
Amtsbezeichnung,f,de
Amsterdamerin,f,de
Amtsaufgabe,f,de
Amtsanmaßung,f,de
Amsel,f,de
Amputationswunde,f,de
Amputation,f,de
Amplitudenmodulation,f,de
Analphabetenquote,f,de
Ampulle,f,de
Amplifikation,f,de
Amplitude,f,de
Amplidyne,f,de
Angorakatze,f,de
Angoraziege,f,de
Angolanerin,f,de
Anglophobie,f,de
Anglophilie,f,de
Anglistik,f,de
Anglistin,f,de
Angloamerikanerin,f,de
Angliederung,f,de
Anglistikstudentin,f,de
Anglikanerin,f,de
Anglisierung,f,de
Angleichung,f,de
Angiopathie,f,de
Angiosperme,f,de
Anglerin,f,de
Angiologin,f,de
Angiologie,f,de
Anti-AKW-Demonstration,f,de
Anthropozentrizität,f,de
Anthropozentrik,f,de
Anthropophobie,f,de
Anthropomatik,f,de
Anthroposophie,f,de
Anthropomorphisierung,f,de
Anthropologie,f,de
Anthropodizee,f,de
Anthropologin,f,de
Anthropochore,f,de
Anthropophagie,f,de
Anthropochorie,f,de
Anthologie,f,de
Antezedenz,f,de
Antepaenultima,f,de
